group_id,type,label,dominant_domain,agent_count,collections,agents
dup-001,exact-duplicate,boardprepai,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:boardprep-ai-premium-pack; github-agents-v1:board-prep-ai-github-pack
dup-002,exact-duplicate,brandguardian,marketing,2,executive-premium-v1; github-agents-v1,executive-premium-v1:brand-guardian-premium-pack; github-agents-v1:brand-guardian-github-pack
dup-003,exact-duplicate,budgetfluid,financeiro,2,executive-premium-v1; github-agents-v1,executive-premium-v1:budget-fluid-premium-pack; github-agents-v1:budget-fluid-github-pack
dup-004,exact-duplicate,capitalallocator,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:capital-allocator-premium-pack; github-agents-v1:capital-allocator-github-pack
dup-005,exact-duplicate,churndeflector,CS,2,executive-premium-v1; github-agents-v1,executive-premium-v1:churn-deflector-premium-pack; github-agents-v1:churn-deflector-github-pack
dup-006,exact-duplicate,competitorxray,marketing,2,executive-premium-v1; github-agents-v1,executive-premium-v1:competitor-xray-premium-pack; github-agents-v1:competitor-x-ray-github-pack
dup-007,exact-duplicate,crisisnavigator,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:crisis-navigator-premium-pack; github-agents-v1:crisis-navigator-github-pack
dup-008,exact-duplicate,culturepulse,ops,2,executive-premium-v1; github-agents-v1,executive-premium-v1:culture-pulse-premium-pack; github-agents-v1:culture-pulse-github-pack
dup-009,exact-duplicate,expansionmapper,CS,2,executive-premium-v1; github-agents-v1,executive-premium-v1:expansion-mapper-premium-pack; github-agents-v1:expansion-mapper-github-pack
dup-010,exact-duplicate,marketsentinel,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:market-sentinel-premium-pack; github-agents-v1:market-sentinel-github-pack
dup-011,exact-duplicate,narrativeweaver,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:narrative-weaver-premium-pack; github-agents-v1:narrative-weaver-github-pack
dup-012,exact-duplicate,pipelineoracle,vendas,2,executive-premium-v1; github-agents-v1,executive-premium-v1:pipeline-oracle-premium-pack; github-agents-v1:pipeline-oracle-github-pack
dup-013,exact-duplicate,pricingoptimizer,vendas,2,executive-premium-v1; github-agents-v1,executive-premium-v1:pricing-optimizer-premium-pack; github-agents-v1:pricing-optimizer-github-pack
dup-014,exact-duplicate,quotaarchitect,vendas,2,executive-premium-v1; github-agents-v1,executive-premium-v1:quota-architect-premium-pack; github-agents-v1:quota-architect-github-pack
dup-015,exact-duplicate,trendcatcher,executivo,2,executive-premium-v1; github-agents-v1,executive-premium-v1:trend-catcher-premium-pack; github-agents-v1:trend-catcher-github-pack
