collection,pack_dir,agent_id,agent_name,version,domain,domain_basis,source_domain,functional_owner,primary_use_case,priority_tier,priority_rank,readiness_status,has_readiness,has_evidence,source_path,source_checksum,skills_count,tools_count,policies_count,source_tags_domain,source_tags_level,source_tags_use_case,manifest_path,canonical_concept_key,exact_duplicate_group_id,overlap_group_ids
corporate-v1,account-manager-pack,account-manager-pack,Account Manager Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Ajudar na gestão de carteira, expansão e retenção da base. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,customer-success; enablement,specialist,account-manager; retention-and-growth; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/account-manager-pack/manifest.json,accountmanager,,
corporate-v1,admin-ops-pack,admin-ops-pack,Admin Ops Bot,2.3.0,ops,manual-override,,COO / RevOps,"Ajudar admins a configurar a plataforma, usuários, integrações e governança. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,5,1,operations; enablement,specialist,admin-ops; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/admin-ops-pack/manifest.json,adminops,,
corporate-v1,agent-mesh-orchestrator-pack,agent-mesh-orchestrator-pack,Agent Mesh Orchestrator,2.3.0,ops,manual-override,,COO / Platform Ops,"Orquestrar malhas de agentes por segmento, tipo de problema e prioridade operacional, decidindo qual especialista entra, em que ordem, com qual contexto e a partir de gatilhos reais de entrada.",core,P0,not-provided,no,no,,,8,6,1,management; operations; governance,suite,agent-mesh-orchestration; multi-agent-execution; segment-routing; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/agent-mesh-orchestrator-pack/manifest.json,agentmeshorchestrator,,overlap-process-workflow-automation
corporate-v1,call-review-pack,call-review-pack,Call Review Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Transformar calls em inteligência operacional, coaching e registro. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,customer-success; enablement,specialist,call-review; retention-and-growth; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/call-review-pack/manifest.json,callreview,,overlap-enablement-coaching-playbooks
corporate-v1,ceo-pack,ceo-pack,CEO Agent Pack,2.3.0,executivo,manual-override,,CEO,Corporate strategic agent for growth and board-level prioritization.,core,P0,not-provided,no,no,,,6,3,1,strategy,c-level,strategy; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/ceo-pack/manifest.json,ceo,,overlap-executive-board-strategy
corporate-v1,cfo-pack,cfo-pack,CFO Agent Pack,2.3.0,financeiro,manual-override,,CFO,Finance leadership agent for margin protection and cash planning.,core,P0,not-provided,no,no,,,6,3,1,finance,c-level,financial-planning; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/cfo-pack/manifest.json,cfo,,overlap-lead-prospecting-outreach; overlap-cash-billing-collections; overlap-fpna-budget-cost
corporate-v1,closer-copilot-pack,closer-copilot-pack,Closer Copilot Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Ajudar o closer a avançar oportunidades com contexto, estratégia e próximos passos. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,sales; revenue,specialist,closer-copilot; revenue-execution; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/closer-copilot-pack/manifest.json,closercopilot,,
corporate-v1,closing-forecast-pack,closing-forecast-pack,Closing Forecast Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Estimar chance de fechamento por oportunidade. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,sales; revenue,specialist,closing-forecast; revenue-execution; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/closing-forecast-pack/manifest.json,closingforecast,,overlap-pipeline-forecast-deal-risk
corporate-v1,cmo-pack,cmo-pack,CMO Agent Pack,2.3.0,marketing,manual-override,,CMO,Marketing leadership agent for demand generation and brand efficiency.,core,P0,not-provided,no,no,,,6,3,1,marketing,c-level,campaign-strategy; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/cmo-pack/manifest.json,cmo,,overlap-lead-prospecting-outreach; overlap-brand-market-competitive
corporate-v1,communication-pack,communication-pack,Communication Bot,2.3.0,ops,manual-override,,COO / RevOps,"Centralizar composição e rastreamento de comunicações multicanal. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,4,1,operations; enablement,specialist,communication; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/communication-pack/manifest.json,communication,,
corporate-v1,context-memory-pack,context-memory-pack,Context Memory Bot,2.3.0,ops,manual-override,,COO / Platform Ops,"Armazenar e recuperar memória útil do tenant, das contas, dos deals e dos usuários. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,5,1,operations; governance,suite,context-memory; multi-agent-execution; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/context-memory-pack/manifest.json,contextmemory,,overlap-pipeline-forecast-deal-risk
corporate-v1,coo-pack,coo-pack,COO Agent Pack,2.3.0,ops,manual-override,,COO,Operations leadership agent for process scale and efficiency.,core,P0,not-provided,no,no,,,6,3,1,operations,c-level,operational-excellence; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/coo-pack/manifest.json,coo,,overlap-lead-prospecting-outreach; overlap-process-workflow-automation
corporate-v1,crm-sync-pack,crm-sync-pack,CRM Sync Bot,2.3.0,ops,manual-override,,COO / RevOps,"Sincronizar dados entre BirthHub e CRMs externos sem quebrar consistência. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,operations; enablement,specialist,crm-sync; commercial-operations; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/crm-sync-pack/manifest.json,crmsync,,
corporate-v1,cro-pack,cro-pack,CRO Agent Pack,2.3.0,vendas,manual-override,,CRO,Revenue leadership agent focused on pipeline velocity and conversion.,core,P0,not-provided,no,no,,,6,3,1,revenue,c-level,pipeline-optimization; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/cro-pack/manifest.json,cro,,overlap-pipeline-forecast-deal-risk; overlap-lead-prospecting-outreach
corporate-v1,cs-pack,cs-pack,Customer Success Agent Pack,2.3.0,CS,manual-override,,VP Customer Success,"CS agent focused on retention, expansion and account health.",core,P0,not-provided,no,no,,,6,3,1,customer-success,department,retention; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/cs-pack/manifest.json,cs,,overlap-cs-health-retention
corporate-v1,cto-pack,cto-pack,CTO Agent Pack,2.3.0,ops,manual-override,,CTO,"Technology leadership agent for architecture, reliability and delivery.",core,P0,not-provided,no,no,,,6,3,1,technology,c-level,architecture-governance; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/cto-pack/manifest.json,cto,,overlap-lead-prospecting-outreach
corporate-v1,customer-health-pack,customer-health-pack,Customer Health Bot,2.3.0,CS,manual-override,,VP Customer Success,"Medir saúde da conta e prevenir churn. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,6,3,1,customer-success; enablement,specialist,customer-health; retention-and-growth; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/customer-health-pack/manifest.json,customerhealth,,overlap-cs-health-retention
corporate-v1,deal-risk-pack,deal-risk-pack,Deal Risk Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Identificar deals em risco e sugerir ações corretivas. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,6,3,1,sales; revenue,specialist,deal-risk; revenue-execution; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/deal-risk-pack/manifest.json,dealrisk,,overlap-pipeline-forecast-deal-risk; overlap-compliance-risk-audit
corporate-v1,enablement-coach-pack,enablement-coach-pack,Enablement Coach Bot,2.3.0,vendas,manual-override,,CRO / VP Sales,"Treinar o time comercial com base em gaps reais. Opera de forma autonoma, preventiva e orientada a antecipacao de decisoes criticas.",core,P0,not-provided,no,no,,,7,3,1,customer-success; enablement,specialist,enablement-coach; retention-and-growth; preventive-operations; decision-anticipation; autonomous-monitoring,packages/agent-packs/corporate-v1/enablement-coach-pack/manifest.json,enablementcoach,,overlap-enablement-coaching-playbooks
